iter,loss
0,7.0634605e-09
1,2.5847361e-08
2,5.8770359e-08
3,1.0461664e-07
4,1.6216084e-07
5,2.3098224e-07
6,3.1088952e-07
7,4.0178068e-07
8,5.0359551e-07
9,6.1629587e-07
10,7.398563e-07
11,8.7425907e-07
12,1.0194914e-06
13,1.175544e-06
14,1.3424096e-06
15,1.5194407e-06
16,1.704924e-06
17,1.897794e-06
18,2.0971905e-06
19,2.301623e-06
20,2.5100989e-06
21,2.7210531e-06
22,2.931985e-06
23,3.1404969e-06
24,3.3453305e-06
25,3.5457544e-06
26,3.7404596e-06
27,3.9288243e-06
28,4.1116051e-06
29,4.2896449e-06
30,4.4623773e-06
31,4.6288858e-06
32,4.7891966e-06
33,4.94135e-06
34,5.0817198e-06
35,5.2078712e-06
36,5.3163904e-06
37,5.4044232e-06
38,5.4714604e-06
39,5.5168793e-06
40,5.5451503e-06
41,5.5614407e-06
42,5.5666419e-06
