iter,L_total
1,2.584736115895837e-08
2,5.877035927123119e-08
3,1.0461663695645442e-07
4,1.6216083598003983e-07
5,2.3098224007737142e-07
6,3.10889522223303e-07
7,4.017806767450756e-07
8,5.035955053481835e-07
9,6.162958694111311e-07
10,7.398562973980209e-07
11,8.742590660982895e-07
12,1.0194914312339794e-06
13,1.1755439772417813e-06
14,1.3424095879091942e-06
15,1.5194407171161708e-06
16,1.7049240208797374e-06
17,1.897793950904767e-06
18,2.097190467510721e-06
19,2.301623048460058e-06
20,2.5100989171021218e-06
21,2.721053055854382e-06
22,2.931984960039943e-06
23,3.140496897854787e-06
24,3.34533053915873e-06
25,3.5457543789181205e-06
26,3.740459588259015e-06
27,3.928824254097016e-06
28,4.111605121417399e-06
29,4.289644925900977e-06
30,4.462377258293141e-06
31,4.628885761876097e-06
32,4.7891966026072066e-06
33,4.941350006928324e-06
34,5.081719809614475e-06
35,5.2078711812213595e-06
36,5.3163904271834145e-06
37,5.40442324245423e-06
38,5.471460389372342e-06
39,5.516879284649969e-06
40,5.545150339086251e-06
41,5.561440725940248e-06
42,5.566641901850893e-06
1,2.584736115895837e-08
2,5.877035927123119e-08
3,1.0461663695645442e-07
4,1.6216083598003983e-07
5,2.3098224007737142e-07
6,3.10889522223303e-07
7,4.017806767450756e-07
8,5.035955053481835e-07
9,6.162958694111311e-07
10,7.398562973980209e-07
11,8.742590660982895e-07
12,1.0194914312339794e-06
13,1.1755439772417813e-06
14,1.3424095879091942e-06
15,1.5194407171161708e-06
16,1.7049240208797374e-06
17,1.897793950904767e-06
18,2.097190467510721e-06
19,2.301623048460058e-06
20,2.5100989171021218e-06
21,2.721053055854382e-06
22,2.931984960039943e-06
23,3.140496897854787e-06
24,3.34533053915873e-06
25,3.5457543789181205e-06
26,3.740459588259015e-06
27,3.928824254097016e-06
28,4.111605121417399e-06
29,4.289644925900977e-06
30,4.462377258293141e-06
31,4.628885761876097e-06
32,4.7891966026072066e-06
33,4.941350006928324e-06
34,5.081719809614475e-06
35,5.2078711812213595e-06
36,5.3163904271834145e-06
37,5.40442324245423e-06
38,5.471460389372342e-06
39,5.516879284649969e-06
40,5.545150339086251e-06
41,5.561440725940248e-06
42,5.566641901850893e-06
1,2.584736115895837e-08
2,5.877035927123119e-08
3,1.0461663695645442e-07
4,1.6216083598003983e-07
5,2.3098224007737142e-07
6,3.10889522223303e-07
7,4.017806767450756e-07
8,5.035955053481835e-07
9,6.162958694111311e-07
10,7.398562973980209e-07
11,8.742590660982895e-07
12,1.0194914312339794e-06
13,1.1755439772417813e-06
14,1.3424095879091942e-06
15,1.5194407171161708e-06
16,1.7049240208797374e-06
17,1.897793950904767e-06
18,2.097190467510721e-06
19,2.301623048460058e-06
20,2.5100989171021218e-06
21,2.721053055854382e-06
22,2.931984960039943e-06
23,3.140496897854787e-06
24,3.34533053915873e-06
25,3.5457543789181205e-06
26,3.740459588259015e-06
27,3.928824254097016e-06
28,4.111605121417399e-06
29,4.289644925900977e-06
30,4.462377258293141e-06
31,4.628885761876097e-06
32,4.7891966026072066e-06
33,4.941350006928324e-06
34,5.081719809614475e-06
35,5.2078711812213595e-06
36,5.3163904271834145e-06
37,5.40442324245423e-06
38,5.471460389372342e-06
39,5.516879284649969e-06
40,5.545150339086251e-06
41,5.561440725940248e-06
42,5.566641901850893e-06
1,2.584736115895837e-08
2,5.877035927123119e-08
3,1.0461663695645442e-07
4,1.6216083598003983e-07
5,2.3098224007737142e-07
6,3.10889522223303e-07
7,4.017806767450756e-07
8,5.035955053481835e-07
9,6.162958694111311e-07
10,7.398562973980209e-07
11,8.742590660982895e-07
12,1.0194914312339794e-06
13,1.1755439772417813e-06
14,1.3424095879091942e-06
15,1.5194407171161708e-06
16,1.7049240208797374e-06
17,1.897793950904767e-06
18,2.097190467510721e-06
19,2.301623048460058e-06
20,2.5100989171021218e-06
21,2.721053055854382e-06
22,2.931984960039943e-06
23,3.140496897854787e-06
24,3.34533053915873e-06
25,3.5457543789181205e-06
26,3.740459588259015e-06
27,3.928824254097016e-06
28,4.111605121417399e-06
29,4.289644925900977e-06
30,4.462377258293141e-06
31,4.628885761876097e-06
32,4.7891966026072066e-06
33,4.941350006928324e-06
34,5.081719809614475e-06
35,5.2078711812213595e-06
36,5.3163904271834145e-06
37,5.40442324245423e-06
38,5.471460389372342e-06
39,5.516879284649969e-06
40,5.545150339086251e-06
41,5.561440725940248e-06
42,5.566641901850893e-06
